Кол-во элементов;Среднее;Интервал
400;0.06723;(0.05883777971986544, 0.07562222028013456)
800;0.524643;(0.4658316075406111, 0.5834543924593889)
1200;1.885679;(1.6764574288589749, 2.094900571141025)
1600;5.623276;(4.3826221956197795, 6.86392980438022)
2000;17.994078;(16.181968657035362, 19.806187342964634)
