Кол-во элементов;Среднее;Интервал
400;0.233688;(0.20745162237277873, 0.2599243776272213)
800;1.838678;(1.6857371486935127, 1.9916188513064874)
1200;6.796904;(6.0778438453323345, 7.515964154667665)
1600;20.397333;(15.96997961065156, 24.82468638934844)
2000;65.582383;(59.68027289069694, 71.48449310930305)
