Кол-во элементов;Среднее;Интервал
400;0.144403;(0.1285102551246169, 0.16029574487538312)
800;1.093305;(0.9520947201770262, 1.2345152798229737)
1200;3.756616;(3.376160430381203, 4.137071569618797)
1600;11.959082;(9.47048049487759, 14.447683505122411)
2000;36.682799;(32.89632999440169, 40.469268005598316)
