Кол-во элементов;Среднее;Интервал
400;0.637883;(0.5632819001161298, 0.7124840998838702)
800;4.979196;(4.44095644311013, 5.51743555688987)
1200;17.791848;(15.958444904088326, 19.62525109591168)
1600;53.82539;(42.478925115238916, 65.17185488476107)
2000;171.548669;(156.69813395910094, 186.39920404089904)
