Кол-во элементов;Среднее;Интервал
400;0.041832;(0.0368977565784095, 0.046766243421590505)
800;0.327641;(0.2906692307996263, 0.3646127692003737)
1200;1.16581;(1.046371098727071, 1.2852489012729291)
1600;3.527785;(2.7712852916538737, 4.284284708346126)
2000;11.256336;(10.293641501712841, 12.219030498287157)
